,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
27,1.3153974998500578e-06,0.0006262069119933152,1.3040489093170256e-05
28,1.342826213847833e-06,0.0006267059368178774,1.3162232085799848e-05
29,1.3261116939889426e-06,0.0006228299079259672,1.3056948752931715e-05
30,1.3491752114892432e-06,0.0006271185385837123,1.2848686927999788e-05
31,1.3006119055389162e-06,0.0006219849568913801,1.296529629285747e-05
32,1.3395372499019797e-06,0.0006265690755479098,1.2850258012965796e-05
33,1.313489545067243e-06,0.0006229600753894451,1.296064057997578e-05
34,1.3298057540026606e-06,0.0006237743820769022,1.300064018720716e-05
35,1.3179375428263418e-06,0.0006236089118164097,1.2999271902886703e-05
36,1.3429592923285743e-06,0.0006270327655226773,1.3150681304210596e-05
37,1.347847895579493e-06,0.0006234147638978073,1.2837760756889175e-05
38,1.3236220837455684e-06,0.00062034081774631,1.313780744219988e-05
39,1.3191379946377294e-06,0.0006284673455155635,1.292028182961246e-05
40,1.3547001185265844e-06,0.0006222778411886687,1.2932707565232106e-05
41,1.3116494450154342e-06,0.0006255401081104499,1.3032638480406429e-05
42,1.318118696427636e-06,0.0006248871574399389,1.2989887662009193e-05
43,1.341889844786108e-06,0.000623276415040246,1.2891767835838755e-05
44,1.3417655262611588e-06,0.0006205376682598697,1.27493676070249e-05
45,1.3417432507230491e-06,0.0006205504508659022,1.2944659964062251e-05
46,1.3271746289597924e-06,0.0006236450424876795,1.2879687419976964e-05
47,1.3210741624794385e-06,0.0006289064189712337,1.3105645002767658e-05
48,1.3079185400437515e-06,0.0006256650480054466,1.2842116953238792e-05
49,1.3834580469263004e-06,0.0006235492597160424,1.2678010005189497e-05
50,1.3235589272259245e-06,0.000625581277205003,1.305950997805755e-05
51,1.3470351982160112e-06,0.0006240098342275387,1.2869426291756525e-05
52,1.3280107272542084e-06,0.0006174034249179604,1.2891893051835615e-05
53,1.360593329399325e-06,0.0006225574740018074,1.2939817287528592e-05
54,1.3333885659841205e-06,0.0006260242209064789,1.3027584079868261e-05
55,1.3438736813626888e-06,0.0006246824080667392,1.2816360285653471e-05
56,1.3118831370511195e-06,0.0006195609998635615,1.2808333357961337e-05
57,1.4130263723026385e-06,0.0006276383007230003,1.2657250345163225e-05
58,1.3318944293766496e-06,0.0006261858325972529,1.2877241911566758e-05
59,1.3129109169666547e-06,0.0006203782444090704,1.2780252521007342e-05
60,1.3174863612230495e-06,0.0006210991844363075,1.3000974116135544e-05
61,1.3496030074695177e-06,0.0006278657943647672,1.2905811694354059e-05
62,1.3215010773793424e-06,0.000619490844659363,1.2968431601342683e-05
63,1.341577625847777e-06,0.0006273588398264879,1.2577102052163234e-05
64,1.300590112804297e-06,0.0006187610329027135,1.3044110251925208e-05
65,1.3114474877514949e-06,0.0006227122167491779,1.3117298801036351e-05
66,1.3196865095381636e-06,0.0006252136698931522,1.3148665714883969e-05
67,1.309605510067959e-06,0.0006137391141053293,1.2666054554548354e-05
68,1.3291857664427369e-06,0.0006241013128642533,1.2895845445457863e-05
69,1.3541546444914253e-06,0.0006264713968983799,1.2891686574710322e-05
70,1.3102724121867397e-06,0.000621402017924781,1.3006114625063387e-05
71,1.3338403812787004e-06,0.0006246529741319634,1.3208857422705645e-05
72,1.3237336553890009e-06,0.0006239249494202879,1.3227546203844661e-05
73,1.2789090166723913e-06,0.0006200404453518708,1.3094093301937418e-05
74,1.2982042415649711e-06,0.0006223601177510273,1.3207318916032973e-05
75,1.3025451281000511e-06,0.0006163543591216936,1.293892796819062e-05
76,1.3187486465662206e-06,0.0006206923004531661,1.2994794130513513e-05
77,1.3225463770473718e-06,0.000624428030006217,1.2811185974935475e-05
78,1.3811943048248175e-06,0.0006230571877212413,1.2578610393308933e-05
79,1.2926801077493426e-06,0.0006200500736879012,1.3118797348158567e-05
80,1.2722113330836932e-06,0.000608253009773193,1.2890770785507034e-05
81,1.338424168610709e-06,0.0006222474103009072,1.2883306921362339e-05
82,1.2936900211706057e-06,0.0006159003020169974,1.2820962727550091e-05
83,1.3262172703723056e-06,0.0006256463927621943,1.2933971992445508e-05
84,1.3184331229185956e-06,0.0006249191038516275,1.3013571840796428e-05
85,1.3139779847466547e-06,0.0006229097028294267,1.3258276489452169e-05
86,1.3125907955676464e-06,0.0006224741129570298,1.2783369930326893e-05
87,1.3430639731019453e-06,0.000633485378367812,1.3247652222981895e-05
88,1.3335216402351147e-06,0.0006259367540890766,1.304771910139237e-05
89,1.3223621106458828e-06,0.0006204125447071672,1.2867256304024368e-05
