Split Number,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
138,1.330179776859978e-06,0.0006228032559506961,1.3156684587023821e-05
139,1.340449108051388e-06,0.0006270056742884695,1.2850535717450417e-05
140,1.3209573804012333e-06,0.0006216800799244811,1.290990356479408e-05
141,1.2915056572816788e-06,0.0006209620647758753,1.2914402356713211e-05
142,1.2529733110788803e-06,0.0006170375621394036,1.326965636819414e-05
143,1.3172751740256622e-06,0.0006188042304881184,1.2708137115629092e-05
144,1.3393147943114048e-06,0.0006197897676711534,1.2872435988295537e-05
145,1.3146992252568743e-06,0.0006183266853224553,1.2879636750095842e-05
146,1.3481080306176363e-06,0.0006284367628890618,1.2918426344596743e-05
147,1.3393339836831873e-06,0.0006243532600913668,1.2881380685649685e-05
148,1.4316748204770065e-06,0.0006405591310166976,1.2970195447726176e-05
149,1.3140108976952678e-06,0.0006229554587457415,1.2931143001198499e-05
150,1.3214849767818748e-06,0.0006194400993926486,1.2970658232222354e-05
151,1.3007209448553252e-06,0.0006207718040169708,1.2960922143730658e-05
152,1.3202431099969416e-06,0.0006167524427543423,1.2706221970626153e-05
153,1.2992384865551884e-06,0.000620064441411388,1.3020553979275963e-05
154,1.320440705000003e-06,0.0006203624296686693,1.2951474657196633e-05
155,1.360907008313509e-06,0.0006217399757711138,1.2739260790783921e-05
156,1.3334154923162017e-06,0.0006177178084134341,1.2706036408639866e-05
157,1.3039053246701163e-06,0.0006203295008810148,1.2911494258084763e-05
158,1.3243129140445215e-06,0.0006213394480646522,1.2921973492640443e-05
159,1.3306121859646673e-06,0.0006256665454459792,1.2986873630377327e-05
160,1.352843661557362e-06,0.0006286014667733903,1.3031743960186158e-05
161,1.3402820389640374e-06,0.0006269787454763647,1.3002953306146256e-05
162,1.330112302331548e-06,0.0006222694648219325,1.3063244346813657e-05
163,1.3109913527941806e-06,0.000619380789693749,1.292613401066533e-05
164,1.3309450449480877e-06,0.0006227237160990273,1.283425048642153e-05
165,1.2878823927756516e-06,0.000617173603016728,1.2926797927092904e-05
166,1.3139954730558894e-06,0.0006274320452147298,1.3238164110494421e-05
167,1.3012869789093268e-06,0.0006150556586947633,1.2850885504727214e-05
168,1.3196352252635204e-06,0.000624534435170886,1.3027733203289374e-05
169,1.3137713130942488e-06,0.000619854614182007,1.3029644502156895e-05
170,1.3526410985565193e-06,0.0006245717966806785,1.2823411340590591e-05
171,1.3506965236673335e-06,0.0006289860774258448,1.309384997897993e-05
172,1.3404076887516588e-06,0.0006299952664762811,1.307511814016128e-05
173,1.3319726159375825e-06,0.0006208472272639244,1.284053531963545e-05
174,1.3113544346695244e-06,0.0006233548720341392,1.2845283987214327e-05
175,1.3034196881495476e-06,0.000622100497525198,1.2958553235046205e-05
176,1.3468818981484884e-06,0.0006262131907937934,1.2806052894068314e-05
177,1.303150503657133e-06,0.0006199158561926635,1.3014147115488268e-05
178,1.3448809744502766e-06,0.000625502570828661,1.2904688926493432e-05
179,1.3114487710115955e-06,0.000618018543580382,1.267369487873351e-05
180,1.3083236305415802e-06,0.0006207807303758046,1.3025812539225963e-05
181,1.2953520272306147e-06,0.0006146544532514445,1.2919663816557567e-05
182,1.3089667320348483e-06,0.000617988388072822,1.280025017272959e-05
183,1.329267640501878e-06,0.000623110550754678,1.2853534578522496e-05
184,1.3165860399717517e-06,0.000622756713353149,1.311690263612747e-05
185,1.3425709632375475e-06,0.0006268035907466324,1.3043485748841241e-05
186,1.3050138303216347e-06,0.0006191168122257142,1.2867940255238214e-05
187,1.3644465251740728e-06,0.0006314674540942643,1.2885677505685158e-05
188,1.3525378964223203e-06,0.0006280117795092519,1.2924054268706631e-05
189,1.3144905973400788e-06,0.000615960966480752,1.2642225414110612e-05
190,1.313950967230083e-06,0.0006256381641777143,1.3109180535894129e-05
191,1.312759560344006e-06,0.0006220972232853296,1.3047654295218156e-05
192,1.305033652884454e-06,0.0006227015354910038,1.3016723450391948e-05
193,1.339711050694935e-06,0.0006224612865476439,1.2781923033411062e-05
194,1.2686464358479672e-06,0.0006119736226270883,1.3266028978876342e-05
195,1.3604272494979186e-06,0.0006285876952725478,1.2951539663582775e-05
196,1.3219897495403784e-06,0.0006220276601195478,1.2933153806819643e-05
197,1.3054328646773428e-06,0.0006206239143517576,1.2703026734786335e-05
198,1.318448657789334e-06,0.0006266432213546069,1.3197685551014834e-05
199,1.321233588177774e-06,0.0006205505065265644,1.300231159149439e-05
200,1.3222531489874383e-06,0.0006204868401762163,1.2852395596950473e-05
201,1.3272000741822167e-06,0.0006269191410033691,1.3043564272459284e-05
202,1.3265846513045169e-06,0.0006221015054343449,1.3021342004748277e-05
203,1.3184303765201276e-06,0.0006176155616068067,1.2683515847082884e-05
204,1.3330728448532165e-06,0.0006239425607174239,1.3038009230023046e-05
205,1.3112937218788414e-06,0.0006150654685636669,1.2816106391963431e-05
206,1.3037715035741555e-06,0.0006239058279433097,1.2899766222330345e-05
207,1.3428886866379102e-06,0.0006211454073373689,1.2762382214032956e-05
208,1.3620628267456642e-06,0.0006300611064732874,1.289631020285429e-05
209,1.3193973181139774e-06,0.0006212203298589834,1.281869700038464e-05
210,1.3338926940850743e-06,0.0006200329920610848,1.290255276530051e-05
211,1.3270303673925584e-06,0.0006237068844187572,1.3150123688892722e-05
212,1.3340317204535899e-06,0.0006196711526548379,1.2864839035984164e-05
213,1.3618255096121644e-06,0.000625703667095692,1.2918751378894575e-05
